

Here are the 16 flight plans:

SEA | DEN | Alaska Airlines | Non-stop | 06:00 | 09:35 | 250.00
SEA | SPU | JetBlue Airways | 1 stop (SFO) | 18:30 | 21:45 | 300.00
SEA | SPU | Southwest Airlines | Non-stop | 20:00 | 22:20 | 260.00
SPU | SEA | American Airlines | Non-stop | 06:30 | 08:50 | 270.00
SPU | SEA | Delta Air Lines | 1 stop (ATL) | 09:00 | 12:20 | 330.00
SPU | SEA | United Airlines | Non-stop | 11:15 | 13:35 | 290.00
SPU | SEA | Alaska Airlines | 1 stop (DEN) | 13:30 | 16:50 | 360.00
SPU | SEA | Spirit Airlines | 1 stop (PHX) | 15:45 | 19:05 | 230.00
SPU | SEA | Frontier Airlines | Non-stop | 17:00 | 19:20 | 250.00
SPU | SEA | JetBlue Airways | 1 stop (MIA) | 19:15 | 22:35 | 310.00
SPU | SEA | Southwest Airlines | Non-stop | 21:30 | 23:50 | 280.00


Here are the 16 flight plans:

SEA | ARN | SAS | 0 | 08:00 | 16:30 | 450.00
SEA | ARN | Norwegian | 1 (OSL) | 09:30 | 19:15 | 520.00
SEA | ARN | Lufthansa | 1 (FRA) | 11:00 | 20:45 | 620.00
SEA | ARN | Icelandair | 1 (KEF) | 12:30 | 22:15 | 580.00
SEA | ARN | Delta | 1 (AMS) | 14:00 | 23:45 | 650.00
SEA | ARN | KLM | 1 (AMS) | 15:30 | 01:15 | 680.00
SEA | ARN | United | 2 (EWR, FRA) | 17:00 | 02:45 | 750.00
SEA | ARN | American | 2 (PHL, LHR) | 19:00 | 04:30 | 800.00

ARN | SEA | SAS | 0 | 08:30 | 10:00 | 420.00
ARN | SEA | Norwegian | 1 (OSL) | 10:00 | 13:45 | 490.00
ARN | SEA | Lufthansa | 1 (FRA) | 11:30 | 15:15 | 590.00
ARN | SEA | Icelandair | 1 (KEF) | 13:00 | 17:45 | 550.00
ARN | SEA | Delta | 1 (AMS) | 14:30 | 19:15 | 620.00
ARN | SEA | KLM | 1 (AMS) | 16:00 | 21:45 | 650.00
ARN | SEA | United | 2 (FRA, EWR) | 17:30 | 00:15 | 720.00
ARN | SEA | American | 2 (LHR, PHL) | 19:30 | 02:45 | 780.00


Here are the 16 flight plans:

SEA | SYD | Qantas | 0 | 09:00 | 07:00 | 850.00
SEA | SYD | American Airlines | 1 (HNL) | 11:00 | 10:00 | 950.00
SEA | SYD | Delta | 0 | 13:00 | 11:00 | 900.00
SEA | SYD | United | 1 (LAX) | 15:00 | 14:00 | 1050.00
SEA | SYD | Virgin Australia | 0 | 17:00 | 15:00 | 1000.00
SEA | SYD | Air New Zealand | 1 (AKL) | 19:00 | 18:00 | 1100.00
SEA | SYD | Japan Airlines | 1 (NRT) | 21:00 | 20:00 | 1200.00
SEA | SYD | Emirates | 1 (DXB) | 23:00 | 22:00 | 1300.00

SYD | SEA | Qantas | 0 | 08:00 | 18:00 | 900.00
SYD | SEA | American Airlines | 1 (LAX) | 10:00 | 20:00 | 1050.00
SYD | SEA | Delta | 0 | 12:00 | 22:00 | 950.00
SYD | SEA | United | 1 (SFO) | 14:00 | 00:00 | 1100.00
SYD | SEA | Virgin Australia | 0 | 16:00 | 02:00 | 1000.00
SYD | SEA | Air New Zealand | 1 (AKL) | 18:00 | 04:00 | 1150.00
SYD | SEA | Japan Airlines | 1 (NRT) | 20:00 | 06:00 | 1250.00
SYD | SEA | Emirates | 1 (DXB) | 22:00 | 08:00 | 1350.00


Here are the 16 flight plans:

SEA | NRT | ANA | 0 | 10:30 | 14:45 | 850.00
SEA | NRT | JAL | 1 (HND) | 12:15 | 17:20 | 920.00
SEA | NRT | Delta | 0 | 14:00 | 18:15 | 780.00
SEA | NRT | American | 1 (LAX) | 15:45 | 20:50 | 950.00
SEA | NRT | United | 0 | 07:00 | 11:10 | 820.00
SEA | NRT | Asiana | 1 (ICN) | 09:30 | 14:40 | 900.00
SEA | NRT | Korean Air | 1 (ICN) | 11:50 | 16:55 | 940.00
SEA | NRT | China Eastern | 1 (PVG) | 13:20 | 18:25 | 960.00
NRT | SEA | ANA | 0 | 09:00 | 04:10 | 830.00
NRT | SEA | JAL | 1 (HND) | 11:30 | 06:40 | 900.00
NRT | SEA | Delta | 0 | 13:45 | 08:55 | 790.00
NRT | SEA | American | 1 (LAX) | 15:15 | 10:25 | 930.00
NRT | SEA | United | 0 | 07:45 | 03:00 | 810.00
NRT | SEA | Asiana | 1 (ICN) | 10:00 | 05:10 | 880.00
NRT | SEA | Korean Air | 1 (ICN) | 12:20 | 07:30 | 920.00
NRT | SEA | China Eastern | 1 (PVG) | 14:50 | 09:55 | 940.00
NRT | SEA | Cathay Pacific | 1 (HKG) | 16:30 | 11:40 | 970.00


Here are the 16 flight plans:

SEA | HND | ANA | 0 | 08:30 | 21:45 | 550.00
SEA | HND | JAL | 1 (NRT) | 09:00 | 22:10 | 620.00
SEA | HND | Delta | 0 | 10:00 | 23:15 | 580.00
SEA | HND | American | 1 (LAX) | 11:30 | 00:45 | 650.00
SEA | HND | United | 0 | 12:30 | 01:45 | 600.00
SEA | HND | Korean Air | 1 (ICN) | 13:30 | 02:45 | 680.00
SEA | HND | Asiana | 1 (ICN) | 14:30 | 03:45 | 710.00
SEA | HND | China Eastern | 1 (PVG) | 15:30 | 04:45 | 740.00

HND | SEA | ANA | 0 | 08:00 | 04:15 | 520.00
HND | SEA | JAL | 1 (NRT) | 09:30 | 05:45 | 590.00
HND | SEA | Delta | 0 | 11:00 | 07:15 | 560.00
HND | SEA | American | 1 (LAX) | 12:30 | 08:45 | 630.00
HND | SEA | United | 0 | 14:00 | 09:15 | 610.00
HND | SEA | Korean Air | 1 (ICN) | 15:30 | 10:45 | 660.00
HND | SEA | Asiana | 1 (ICN) | 16:30 | 11:45 | 690.00
HND | SEA | China Eastern | 1 (PVG) | 17:30 | 12:45 | 720.00


Here are the 16 flight plans:

SEA | YYZ | WestJet | 1 (ORD) | 08:00 | 16:45 | 542.00
SEA | YYZ | American Airlines | 2 (PHL, CLT) | 09:30 | 19:15 | 622.00
SEA | YYZ | Delta Air Lines | 0 | 10:15 | 17:30 | 485.00
SEA | YYZ | United Airlines | 1 (DEN) | 11:45 | 19:00 | 512.00
SEA | YYZ | Air Canada | 0 | 12:00 | 18:15 | 450.00
SEA | YYZ | Alaska Airlines | 1 (SFO) | 13:30 | 20:45 | 580.00
SEA | YYZ | JetBlue Airways | 2 (LAX, BOS) | 14:15 | 22:30 | 642.00
SEA | YYZ | Spirit Airlines | 1 (LAS) | 15:00 | 21:15 | 520.00

YYZ | SEA | WestJet | 1 (YUL) | 06:00 | 08:45 | 498.00
YYZ | SEA | American Airlines | 2 (DFW, PDX) | 07:30 | 11:15 | 602.00
YYZ | SEA | Delta Air Lines | 0 | 08:15 | 10:30 | 460.00
YYZ | SEA | United Airlines | 1 (IAH) | 09:45 | 12:00 | 530.00
YYZ | SEA | Air Canada | 0 | 10:00 | 12:15 | 420.00
YYZ | SEA | Alaska Airlines | 1 (ORD) | 11:30 | 14:45 | 560.00
YYZ | SEA | JetBlue Airways | 2 (BOS, JFK) | 12:15 | 16:30 | 680.00
YYZ | SEA | Spirit Airlines | 1 (CHI) | 13:00 | 15:15 | 540.00


Here are the 16 flight plans:

SEA | YVR | Alaska Airlines | Non-stop | 06:00 | 07:15 | 120.00
SEA | YVR | WestJet | Non-stop | 08:30 | 09:45 | 150.00
SEA | YVR | Delta Air Lines | 1 stop (SFO) | 10:00 | 12:30 | 220.00
SEA | YVR | American Airlines | 1 stop (LAX) | 11:15 | 14:00 | 280.00
SEA | YVR | Air Canada | Non-stop | 12:45 | 14:00 | 180.00
SEA | YVR | United Airlines | 1 stop (SFO) | 14:00 | 16:30 | 250.00
SEA | YVR | Frontier Airlines | 1 stop (DEN) | 15:30 | 18:15 | 200.00
SEA | YVR | Spirit Airlines | 1 stop (LAS) | 17:00 | 20:00 | 230.00
YVR | SEA | WestJet | Non-stop | 06:00 | 07:15 | 130.00
YVR | SEA | Alaska Airlines | Non-stop | 08:30 | 09:45 | 140.00
YVR | SEA | Air Canada | 1 stop (YYC) | 10:00 | 12:30 | 240.00
YVR | SEA | Delta Air Lines | 1 stop (SFO) | 11:15 | 14:00 | 290.00
YVR | SEA | American Airlines | Non-stop | 12:45 | 14:00 | 190.00
YVR | SEA | United Airlines | 1 stop (SFO) | 14:00 | 16:30 | 260.00
YVR | SEA | Frontier Airlines | 1 stop (DEN) | 15:30 | 18:15 | 210.00
YVR | SEA | Spirit Airlines | 1 stop (LAS) | 17:00 | 20:00 | 240.00


Here are the 16 flight plans:

SEA | VIE | Lufthansa | Non-stop | 08:00 | 17:30 | 850.00
SEA | VIE | Austrian | 1 stop (FRA) | 09:30 | 19:15 | 720.00
SEA | VIE | Turkish | 1 stop (IST) | 11:45 | 22:20 | 650.00
SEA | VIE | Swiss | 1 stop (ZRH) | 13:15 | 23:50 | 780.00
SEA | VIE | KLM | 2 stops (AMS, CDG) | 14:00 | 01:30 | 590.00
SEA | VIE | Delta | Non-stop | 15:30 | 01:00 | 900.00
SEA | VIE | United | 1 stop (EWR) | 16:45 | 03:20 | 820.00
SEA | VIE | American | 2 stops (PHL, MIA) | 18:00 | 05:45 | 680.00

VIE | SEA | Austrian | Non-stop | 09:00 | 11:30 | 950.00
VIE | SEA | Lufthansa | 1 stop (FRA) | 10:30 | 13:15 | 850.00
VIE | SEA | Turkish | 1 stop (IST) | 12:00 | 15:45 | 750.00
VIE | SEA | Swiss | 1 stop (ZRH) | 13:30 | 17:10 | 880.00
VIE | SEA | KLM | 2 stops (AMS, LHR) | 14:45 | 20:25 | 630.00
VIE | SEA | Delta | Non-stop | 16:00 | 18:30 | 1020.00
VIE | SEA | United | 1 stop (EWR) | 17:15 | 21:50 | 920.00
VIE | SEA | American | 2 stops (PHL, ORD) | 18:30 | 23:55 | 780.00


Here are the 16 flight plans:

SEA | ZRH | Swiss | 0 | 14:30 | 08:35 | 850.00
SEA | ZRH | Lufthansa | 1 (FRA) | 10:15 | 07:05 | 950.00
SEA | ZRH | American | 2 (PHL, CDG) | 08:00 | 11:45 | 1050.00
SEA | ZRH | Delta | 1 (AMS) | 12:45 | 09:15 | 920.00
SEA | ZRH | United | 1 (EWR) | 09:30 | 06:50 | 890.00
SEA | ZRH | Air Canada | 2 (YYZ, FRA) | 11:00 | 10:30 | 1120.00
SEA | ZRH | Turkish | 1 (IST) | 13:15 | 10:40 | 980.00
SEA | ZRH | KLM | 1 (AMS) | 15:00 | 11:20 | 940.00
ZRH | SEA | Swiss | 0 | 09:15 | 11:20 | 870.00
ZRH | SEA | Lufthansa | 1 (FRA) | 11:45 | 14:05 | 970.00
ZRH | SEA | American | 2 (CDG, PHL) | 13:30 | 18:15 | 1090.00
ZRH | SEA | Delta | 1 (AMS) | 10:00 | 12:30 | 910.00
ZRH | SEA | United | 1 (EWR) | 12:15 | 15:40 | 930.00
ZRH | SEA | Air Canada | 2 (FRA, YYZ) | 14:45 | 19:10 | 1140.00
ZRH | SEA | Turkish | 1 (IST) | 16:00 | 19:35 | 1010.00
ZRH | SEA | KLM | 1 (AMS) | 17:30 | 20:00 | 960.00
